state,district,key,year,season,rain_mm,n_days,rain_normal_mm,rain_anom_mm,rain_anom_pct
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2008-2009,Annual,1045.03,366,700.69,344.33,49.14
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2009-2010,Annual,740.6,365,700.69,39.9,5.7
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2010-2011,Annual,840.33,365,700.69,139.63,19.93
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2011-2012,Annual,492.23,365,700.69,-208.46,-29.75
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2012-2013,Annual,390.97,366,700.69,-309.73,-44.2
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2013-2014,Annual,610.0,365,700.69,-90.69,-12.94
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2014-2015,Annual,536.42,365,700.69,-164.27,-23.44
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2015-2016,Annual,493.19,365,700.69,-207.5,-29.61
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2016-2017,Annual,670.47,366,700.69,-30.22,-4.31
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2017-2018,Annual,796.97,365,700.69,96.27,13.74
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2018-2019,Annual,381.47,365,700.69,-319.23,-45.56
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2019-2020,Annual,811.67,365,700.69,110.98,15.84
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2020-2021,Annual,1048.78,366,700.69,348.09,49.68
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2021-2022,Annual,907.58,365,700.69,206.89,29.53
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2022-2023,Annual,909.59,365,700.69,208.89,29.81
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2023-2024,Annual,523.61,365,700.69,-177.08,-25.27
MAHARASHTRA,AHMEDNAGAR,ahmednagar,1997-1998,Kharif,328.36,122,566.6,-238.25,-42.05
MAHARASHTRA,AHMEDNAGAR,ahmednagar,1998-1999,Kharif,645.61,122,566.6,79.01,13.94
MAHARASHTRA,AHMEDNAGAR,ahmednagar,1999-2000,Kharif,725.34,122,566.6,158.74,28.02
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2000-2001,Kharif,495.91,122,566.6,-70.69,-12.48
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2001-2002,Kharif,398.29,122,566.6,-168.31,-29.71
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2002-2003,Kharif,435.56,122,566.6,-131.05,-23.13
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2003-2004,Kharif,334.35,122,566.6,-232.25,-40.99
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2004-2005,Kharif,583.1,122,566.6,16.5,2.91
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2005-2006,Kharif,1139.61,122,566.6,573.0,101.13
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2006-2007,Kharif,701.67,122,566.6,135.06,23.84
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2007-2008,Kharif,598.11,122,566.6,31.51,5.56
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2008-2009,Kharif,888.46,122,566.6,321.85,56.8
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2009-2010,Kharif,552.54,122,566.6,-14.06,-2.48
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2010-2011,Kharif,712.33,122,566.6,145.73,25.72
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2011-2012,Kharif,445.9,122,566.6,-120.71,-21.3
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2012-2013,Kharif,296.26,122,566.6,-270.34,-47.71
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2013-2014,Kharif,526.28,122,566.6,-40.33,-7.12
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2014-2015,Kharif,368.02,122,566.6,-198.59,-35.05
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2015-2016,Kharif,354.25,122,566.6,-212.36,-37.48
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2016-2017,Kharif,556.21,122,566.6,-10.4,-1.83
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2017-2018,Kharif,690.42,122,566.6,123.82,21.85
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2018-2019,Kharif,349.02,122,566.6,-217.58,-38.4
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2019-2020,Kharif,538.76,122,566.6,-27.85,-4.91
